d,State,city,year,CVAPCity,CVAPd,PctCauc,PctB,PctLH,PctAPI,PctAME,PctSA,PctIndO,S,M,ESType,candidate,party,win,race,gender,votes,MS,Women_run_d,Women_run_e,Women_win_e,Women_win_d
1,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,QUILKEY Chris,12,1,1,0,955,45,0,2,2,0
1,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,DIAZ Jess,13,1,4,0,683,45,0,2,2,0
1,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,SINGH Moninder,12,1,5,0,458,45,0,2,2,0
2,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,KELLY Leo,12,1,1,0,1011,45,0,2,2,0
2,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,DIAZ Jaymes,13,1,4,0,410,45,0,2,2,0
2,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,GRIFFITHS Julie,12,1,1,0,211,45,0,2,2,0
3,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,BENJAMIN Susai,12,1,7,0,951,45,0,2,2,0
3,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,COLLINS Kathie,12,1,1,0,608,45,0,2,2,0
3,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,BRILLO Frederick,13,1,1,0,282,45,0,2,2,0
4,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,BALI Stephen,12,1,1,0,1368,45,2,2,2,2
4,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,SANTOS Linda,13,1,4,1,642,45,2,2,2,2
4,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,ISRAEL Carol,12,1,4,1,165,45,2,2,2,2
5,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,BLEASDALE Tony,12,1,1,0,1068,45,0,2,2,0
5,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,CAMILLERI Peter,13,1,1,0,270,45,0,2,2,0
5,AUS,Blacktown,2016,NA,NA,38,NA,NA,16,NA,NA,NA,15,3,STV,BUNTING Brad,12,1,1,0,204,45,0,2,2,0
city,AUS,Burwood,2017,NA,NA,13,NA,NA,52,NA,NA,NA,6,6,STV,FURNEAUX-COOK Lesley,11,1,1,1,376,36,2,2,2,2
city,AUS,Burwood,2017,NA,NA,13,NA,NA,52,NA,NA,NA,6,6,STV,DEL DUCA Joseph,13,1,1,0,244,36,2,2,2,2
city,AUS,Burwood,2017,NA,NA,13,NA,NA,52,NA,NA,NA,6,6,STV,CHAN Ernest,12,1,4,0,38,36,2,2,2,2
city,AUS,Burwood,2017,NA,NA,13,NA,NA,52,NA,NA,NA,6,6,STV,CRICHTON Heather,12,1,1,1,33,36,2,2,2,2
city,AUS,Burwood,2017,NA,NA,13,NA,NA,52,NA,NA,NA,6,6,STV,DIXIT Raj,13,1,5,0,28,36,2,2,2,2
